Voltage (V),Current (A),Power (W)
8.025519,0.0,0.0
8.025519,0.0,0.0
8.025519,0.0,0.0
0.041685,0.0,0.0
2.989702,0.0,0.0
2.989702,0.0,0.0
2.989702,0.0,0.0
2.989702,0.0,0.0
0.643597,6.918438,4.452685941486
0.679157,6.664138,4.525995971666
0.740776,6.290559,4.6598951337839996
0.78861,5.983093,4.718326970730001
0.833671,5.738008,4.783610867368
0.890309,5.437669,4.841205649721
0.920993,5.286915,4.869211706594999
0.964335,5.077712,4.89661540152
1.007321,4.892549,4.928367351228999
1.047135,4.71762,4.9399850187
1.088506,4.555671,4.958875217526
1.109421,4.475393,4.965094977453
1.15595,4.314597,4.987458402150001
1.194919,4.202537,5.021691309503001
1.222253,4.090028,4.999048993084
1.269108,3.969928,5.038267384224
1.288555,3.902406,5.02846476333
1.321862,3.797112,5.019258062544
1.355777,3.712062,5.032728282174
1.393056,3.611733,5.031346326048
1.411719,3.556928,5.021382839232
1.445826,3.47484,5.02401401784
1.471751,3.401769,5.006556927519
1.505028,3.329075,5.0103510891
1.533933,3.259063,4.999184284779
1.548608,3.209599,4.970410688192
1.580803,3.151983,4.982664182349
1.604994,3.091069,4.9611471985860005
1.639887,3.039475,4.984395539325
1.655495,3.001542,4.96903777329
1.681376,2.94451,4.95082844576
1.707983,2.898586,4.950735612038
1.72082,2.85062,4.9054039084
1.752214,2.80347,4.9122793825799995
1.775931,2.758835,4.899500600384999
1.797839,2.734707,4.916562898173001
1.827085,2.688607,4.912313520595
1.847585,2.646926,4.890420773710001
1.873554,2.605182,4.880949156828
1.883901,2.583946,4.867898453346
1.908685,2.542577,4.852978581245
1.931794,2.515794,4.859995754436
1.956578,2.475756,4.844009722968
1.970985,2.450804,4.83049792194
1.996303,2.419951,4.830955441153
2.012489,2.388489,4.806807839120999
2.028291,2.354136,4.774872861575999
2.055431,2.330522,4.790227164982
2.073604,2.319103,4.808901257212001
2.091688,2.283534,4.776440665392
2.118102,2.258277,4.783261030254
2.135149,2.230427,4.762293978623001
2.162067,2.209127,4.776280585509
2.175259,2.195065,4.774834896835
2.189237,2.16028,4.72936490636
2.206862,2.143376,4.730135046112
2.230445,2.12013,4.72883335785
2.252813,2.097501,4.725277520313
2.260743,2.082166,4.707242209338
2.280931,2.064662,4.709351560322
2.298259,2.040671,4.689990491789
2.319323,2.023855,4.693973450165
2.353875,2.007207,4.724714377125
2.3589,1.991712,4.6982494368
2.379251,1.973055,4.694393081805
2.396639,1.952988,4.680607207332
2.416546,1.937653,4.682427606538
2.426359,1.920525,4.659883118475
2.453025,1.907737,4.679726554425
2.463949,1.890368,4.657770343232
2.494455,1.876427,4.680662712285
2.504505,1.858001,4.653372794505
2.523523,1.851988,4.673534313724
2.539858,1.834515,4.65940759887
2.559127,1.818348,4.653383462196
2.577686,1.803894,4.649872309284
2.596436,1.796855,4.665419008780001
2.617277,1.784316,4.670049227532
2.631848,1.77256,4.66510849088
2.656513,1.760653,4.677197582989
2.67691,1.747313,4.677399642829999
2.6928,1.741091,4.6884098448
2.704391,1.725187,4.665580196117
2.722965,1.713672,4.66626887748
2.74428,1.700804,4.66748240112
2.758302,1.688497,4.657384652094
2.774785,1.681674,4.66628379009
2.796337,1.67148,4.67402136876
