Voltage (V),Current (A),Power (W)
8.222411,0.0,0.0
8.222411,0.0,0.0
8.222411,0.0,0.0
0.190611,4.52734,0.8629608047399999
0.298714,10.037027,2.998200483278
0.402281,8.681914,3.492569045834
0.521427,7.49603,3.90863243481
0.587671,6.841222,4.020387773962001
0.69988,6.023892,4.21600153296
0.802499,5.455399,4.377952242100999
0.910335,4.897978,4.45880080263
1.018053,4.481335,4.562236540755
1.093145,4.204571,4.596205765794999
1.196861,3.918189,4.689527604728999
1.313561,3.607641,4.738856519601
1.421976,3.347429,4.759963699704
1.487211,3.206508,4.768753969188
1.604297,3.02032,4.84549031504
1.704352,2.843349,4.846067554848
1.821171,2.680647,4.881916577637
1.891327,2.579557,4.878785802138999
2.001269,2.451917,4.906945482673001
2.098373,2.330674,4.8906233934020005
2.216022,2.224942,4.930520420724
2.290478,2.164965,4.958804703269999
2.401323,2.057767,4.941363225741
2.510834,1.972878,4.953569160252
2.620494,1.895333,4.966708754501999
2.685477,1.850266,4.9688467868820005
2.792246,1.787943,4.992376689978
2.910637,1.714746,4.9910031532020005
3.020341,1.655537,5.0002862781170005
3.089282,1.616644,4.9942692096079995
3.189737,1.568703,5.003750001111
3.297884,1.514699,4.995301596916
3.407484,1.466398,4.996727722632
3.515321,1.431861,5.033451042381
3.589065,1.398357,5.018794166205001
3.701274,1.284905,4.75578546897
3.799949,1.248167,4.742970943483
3.906941,1.211276,4.732383866716001
3.990364,1.174048,4.684878873472
4.10029,1.140048,4.67452741392
4.198966,1.090088,4.577242449008001
4.319787,1.02658,4.43460693846
4.386105,1.066042,4.675772146409999
4.49821,1.04712,4.710165655200001
4.602148,1.020838,4.6980475600239995
4.711616,0.979207,4.613647368512001
4.821067,0.962407,4.639828628269
4.887666,0.942412,4.606195090392
4.999682,0.925748,4.628445612136
5.108557,0.903776,4.616991211232
5.216912,0.866284,4.519327395008
5.290419,0.840523,4.446718849137
5.402538,0.823748,4.450329872424
5.502149,0.815404,4.486474303196
5.61796,0.80127,4.501502809200001
5.692815,0.795969,4.531304262735
5.802059,0.783013,4.543087623767
5.910103,0.777215,4.593420703145
6.020844,0.762017,4.587985482348
6.085295,0.758221,4.613998460195001
6.198082,0.742799,4.603929111518
6.30783,0.733422,4.62630129426
6.421847,0.725774,4.660809584578
6.485275,0.720602,4.673302135549999
6.600938,0.711609,4.697286889242
6.71076,0.703057,4.71804679332
6.818255,0.690661,4.709102816554999
6.883624,0.686818,4.727796868432001
7.000992,0.674069,4.719151676448
7.110281,0.662162,4.708157887522
7.212262,0.648021,4.673697233502
7.280403,0.633167,4.609710926301
7.396792,0.617592,4.568199564864
7.506363,0.569066,4.271615966958
7.616096,0.51274,3.90507706304
7.689366,0.470295,3.61627038297
7.802109,0.403548,3.148525482732
7.910494,0.319353,2.526239990382
8.008873,0.221618,1.774910416514
8.092696,0.132899,1.075511205704
8.193596,0.009942,0.08146073143199999
8.197924,0.001734,0.014215200216000002
8.195493,0.001198,0.009818200614000001
8.193714,0.00115,0.0094227711
8.190808,0.001142,0.009353902736000001
8.186704,0.001118,0.009152735072000002
8.183012,0.001278,0.010457889336
8.181411,0.001294,0.010586745834
8.179899,0.001182,0.009668640618000001
8.178936,0.001174,0.009602070863999999
8.176979,0.001254,0.010253931665999999
8.176519,0.001254,0.010253354826
8.175941,0.00115,0.00940233215
8.175185,0.001198,0.009793871630000001
8.173643,0.00123,0.01005358089
8.171776,0.001222,0.009985910272
8.170308,0.00115,0.0093958542
8.169998,0.001142,0.009330137716
