Voltage (V),Current (A),Power (W)
8.096002,0.0,0.0
8.096002,0.0,0.0
8.096002,0.0,0.0
0.039373,0.0,0.0
3.397568,0.0,0.0
3.397568,0.0,0.0
3.397568,0.0,0.0
3.397568,0.0,0.0
0.642649,6.988335,4.491046499415
0.694692,6.612418,4.593593885255999
0.752204,6.265294,4.712779207976
0.799934,5.945729,4.7561907818860005
0.832011,5.762207,4.7942196082769994
0.890739,5.491898,4.891847732622
0.932006,5.274095,4.91548818457
0.979543,5.064916,4.961303013388
1.022841,4.879296,4.990743999936
1.049774,4.772505,5.01005166387
1.090715,4.598047,5.015158833605001
1.128053,4.467025,5.039040952324999
1.171677,4.322309,5.064350042193
1.198877,4.229275,5.070380524175
1.23749,4.110127,5.08624106123
1.270368,4.005522,5.088486972096
1.305616,3.895808,5.086429257728001
1.339457,3.79507,5.08333307699
1.35972,3.738776,5.08368850272
1.398141,3.644556,5.095603170396
1.429091,3.550793,5.074406319163
1.463999,3.482631,5.098568301369
1.479667,3.429877,5.075075810959
1.516294,3.351713,5.082182311622001
1.543286,3.27467,5.053752365619999
1.572902,3.204642,5.040587811084
1.593032,3.166005,5.04354727716
1.621655,3.110079,5.043475160745
1.643963,3.053921,5.020533128923
1.671445,2.992605,5.001974664225001
1.691248,2.96063,5.00715956624
1.724777,2.911727,5.022079759879
1.741127,2.864666,4.9877473185820005
1.75844,2.811886,4.94453281784
1.795809,2.772136,4.978226778024
1.814486,2.747864,4.9859607579039995
1.837179,2.698905,4.958371588994999
1.858702,2.649217,4.924104936334
1.880551,2.619092,4.925336079692
1.900028,2.594091,4.9288455345480005
1.918586,2.548495,4.88950682807
1.944764,2.519533,4.8998970752119995
1.970867,2.480865,4.889454959955
1.982429,2.455128,4.8671169459120005
2.014194,2.430545,4.89558915573
2.026097,2.396705,4.855956810385
2.0463,2.366332,4.8422251716
2.079237,2.344471,4.874710848627
2.097113,2.325966,4.8778135361579995
2.111417,2.293943,4.843470247231
2.129575,2.268607,4.8311687520249995
2.150238,2.235304,4.806435602352
2.166721,2.22519,4.82136590199
2.186421,2.195498,4.800282932658001
2.199332,2.167928,4.767993424096
2.222841,2.147748,4.774102312068
2.236092,2.120555,4.74175607106
2.250129,2.106221,4.739268952509
2.291026,2.092912,4.794915807712
2.304945,2.070667,4.772773548315
2.326052,2.049783,4.767901846716
2.333405,2.034457,4.747212136085
2.349309,2.009273,4.720403142356999
2.375916,1.99365,4.7367449334
2.395987,1.975369,4.732958444203
2.413656,1.967441,4.748725774296
2.433207,1.948319,4.740663429033
2.444428,1.92798,4.7128082954399995
2.45261,1.908265,4.68022982165
2.485354,1.896806,4.714234379324
2.508255,1.88349,4.724273209950001
2.511146,1.869316,4.694125396136
2.542377,1.859283,4.726998335691
2.549878,1.837854,4.686303481812001
2.586179,1.829342,4.731005864218
2.594435,1.814888,4.70860894828
2.61455,1.808563,4.728578391649999
2.6258,1.788319,4.6957680302
2.654468,1.779887,4.7246530851160005
2.652971,1.757522,4.662654897862
2.678318,1.754255,4.69845274309
2.697425,1.740738,4.695510199649999
2.717079,1.728727,4.697087828433
2.735475,1.718893,4.701988829175
2.759503,1.704872,4.704599398616
2.774904,1.69809,4.71203673336
2.787414,1.686879,4.702030140906
2.803882,1.673682,4.692806833524
