Voltage (V),Current (A),Power (W)
7.747901,0.0,0.0
7.747901,0.0,0.0
7.747901,0.0,0.0
0.040336,4.031916,0.162631363776
0.688763,0.0,0.0
3.000612,0.0,0.0
3.000612,0.0,0.0
3.000612,0.0,0.0
0.616412,6.887169,4.245333617628
0.677305,6.478549,4.387953630445001
0.705201,6.265702,4.418579316102
0.76433,5.929642,4.53220326986
0.816195,5.632786,4.59745176927
0.864251,5.365254,4.636926134754
0.893274,5.213243,4.656854427582
0.937579,5.034511,4.7202517888690005
0.981974,4.842508,4.755216950792
1.025212,4.677317,4.795241516204
1.068954,4.515632,4.827002888928
1.097889,4.412821,4.844787634868999
1.133049,4.2799,4.8493364151
1.163421,4.179515,4.862535520815
1.205844,4.050117,4.883809283748
1.246177,3.930145,4.897656305665
1.264157,3.872209,4.895080112813
1.300562,3.764128,4.895481839936
1.331957,3.680792,4.902656669944
1.365442,3.595613,4.9096010059460005
1.397844,3.516505,4.91552541522
1.421501,3.454693,4.910849554193
1.451755,3.377346,4.90307894223
1.481015,3.310577,4.9030141956549995
1.513552,3.237467,4.900074652784
1.530479,3.197291,4.893386732389
1.563267,3.134222,4.8996258232739995
1.584909,3.077255,4.877169144794999
1.612479,3.019903,4.869530169537
1.64804,2.966484,4.888884291359999
1.664196,2.936151,4.8863307495960004
1.685615,2.884356,4.86191373894
1.720449,2.834924,4.877342160876
1.734635,2.783411,4.828202139985
1.760901,2.755039,4.8513509301390005
1.782735,2.714664,4.83952652604
1.809075,2.669156,4.8287033907
1.831635,2.632256,4.821332218559999
1.851898,2.601506,4.817723758388
1.868026,2.561428,4.784814101127999
1.893417,2.533256,4.796509975752
1.911961,2.488376,4.757677865336
1.923834,2.466923,4.745950342782
1.95591,2.436911,4.76637859401
1.980946,2.40597,4.76609664762
1.993738,2.367493,4.720160758834
2.017514,2.35312,4.74745254368
2.029832,2.32189,4.713046622479999
2.06059,2.296634,4.73242105406
2.076139,2.26904,4.71084243656
2.098699,2.242383,4.706086959716999
2.112662,2.221907,4.6941384864339994
2.134274,2.197244,4.689520740856
2.155085,2.175967,4.689393842195
2.170916,2.151368,4.670439213088001
2.194707,2.123718,4.660938760626001
2.206595,2.110754,4.65757922263
2.224353,2.087515,4.643370252794999
2.252057,2.069034,4.659582502938
2.267072,2.045908,4.638220741376
2.28317,2.036307,4.64923505319
2.305271,2.013677,4.642071191466999
2.316477,1.993098,4.616965675746
2.341928,1.978964,4.6345912025919995
2.369706,1.964519,4.655332461414
2.37771,1.941521,4.61637389691
2.393185,1.932864,4.62570113184
2.420014,1.915536,4.635623937504
2.426655,1.894981,4.598465118555
2.444769,1.875883,4.586100606027
2.469656,1.864536,4.604762519616
2.481174,1.854871,4.602257698554
2.503571,1.837782,4.601017719522
2.528429,1.829006,4.624511811574
2.539516,1.812846,4.603751422536
2.569592,1.80182,4.62994225744
2.583303,1.785437,4.612324758411
2.586579,1.773457,4.587186633603
2.615884,1.762351,4.610105783284
2.628513,1.747104,4.592285576351999
2.651281,1.736382,4.603636605342
2.662709,1.725299,4.593969174991
2.686782,1.71529,4.60861029678
2.711284,1.703159,4.617747746156001
2.720978,1.694446,4.610550288188
2.734555,1.679888,4.5937461298399995
2.7555,1.670311,4.6025419605
2.777186,1.659501,4.608742944186
