Voltage (V),Current (A),Power (W)
8.001031,0.0,0.0
8.001031,0.0,0.0
8.001031,0.0,0.0
0.217811,6.159639,1.341637130229
0.293244,10.441531,3.061916316564
0.394292,9.227677,3.6383992196839996
0.507464,8.097068,4.108970515552
0.615271,7.126904,4.384977350984
0.681499,6.649717,4.531775485782999
0.791856,5.97591,4.73206018896
0.914352,5.360923,4.901770666896
1.020721,4.882644,4.983817266324
1.090966,4.610901,5.030336220366
1.188679,4.294346,5.104598908934
1.308922,3.950173,5.170468343505999
1.417588,3.688879,5.229310603852
1.488916,3.522839,5.245211352524
1.601095,3.288932,5.26589258054
1.701002,3.108069,5.286831585138
1.810572,2.936783,5.317257069876001
1.910893,2.788912,5.3293124184159995
1.995517,2.672567,5.333152882139
2.102479,2.546005,5.352922046395
2.211012,2.454127,5.426104246524001
2.320271,2.324348,5.393117258308
2.388279,2.256884,5.390068662636
2.500355,2.163075,5.408455391625
2.604989,2.085249,5.432050707261001
2.720326,1.991136,5.416539030336
2.78611,1.938998,5.40226171778
2.899861,1.874305,5.435223971605001
2.999915,1.813495,5.440330852925
3.110389,1.743237,5.4221451891929995
3.184489,1.705897,5.432410231633
3.300582,1.652334,5.4536638583879995
3.400325,1.593334,5.41785343355
3.508265,1.49223,5.23513828095
3.617687,1.439924,5.209194335788
3.69533,1.407078,5.19961754574
3.802202,1.358095,5.16375152519
3.912396,1.312964,5.136835101744
4.018854,1.276489,5.130022923606
4.086001,1.243594,5.081326327594001
4.198077,1.231487,5.169877250499
4.305054,1.205454,5.189544564516
4.412371,1.166633,5.147617616843
4.521601,1.1271,5.0962964871
4.588259,1.111829,5.101359415710999
4.699786,1.083314,5.091343970804
4.799782,1.057954,5.077948566028001
4.917964,1.03912,5.11035475168
4.992983,1.023793,5.111781044519
5.100849,0.997841,5.089836267009
5.209516,0.968685,5.04638000646
5.318656,0.942228,5.011386605567999
5.404095,0.919086,4.96682805717
5.51371,0.898707,4.95520977297
5.623177,0.884365,4.972940927604999
5.69151,0.871777,4.9617275132700005
5.78946,0.860374,4.98110085804
5.907687,0.843406,4.982578661922
6.019614,0.831651,5.006218002714
6.088586,0.823483,5.013847065038
6.201299,0.813874,5.047076022325999
6.310692,0.801302,5.056770120984
6.418883,0.789875,5.070115209625
6.484697,0.782012,5.071110870364
6.603872,0.773652,5.109098780544
6.713547,0.760231,5.103846549357
6.811615,0.747387,5.090912500005
6.879341,0.740212,5.092170760292
6.999125,0.723668,5.0650427905
7.108813,0.695786,4.946212562018
7.2196,0.661321,4.7744730916
7.292825,0.628114,4.580725482049999
7.401283,0.577914,4.277305063662
7.512396,0.490065,3.6815623457399997
7.610656,0.415751,3.164137842656
7.694716,0.352471,2.712164243236
7.804347,0.242429,1.892000038863
7.899065,0.131233,1.036617997145
7.995889,0.006482,0.051829352498
7.999312,0.0,0.0
7.996807,0.0,0.0
7.992537,0.0,0.0
7.988996,0.0,0.0
7.98692,0.0,0.0
7.983734,0.0,0.0
7.981333,0.0,0.0
7.97985,0.0,0.0
7.97862,0.0,0.0
7.978189,0.0,0.0
7.977923,0.0,0.0
7.97776,0.0,0.0
7.977404,0.0,0.0
7.976619,0.0,0.0
7.976248,0.0,0.0
7.975981,0.0,0.0
7.975759,0.0,0.0
7.975877,0.0,0.0
7.974602,0.0,0.0
