Voltage (V),Current (A),Power (W)
7.914851,0.0,0.0
7.914851,0.0,0.0
7.914851,0.0,0.0
0.040173,0.0,0.0
3.159854,0.0,0.0
3.159854,0.0,0.0
3.159854,0.0,0.0
3.159854,0.0,0.0
0.637431,6.883414,4.387701469434
0.674429,6.631436,4.472432750044
0.724427,6.27379,4.54490286833
0.781969,5.920705,4.6298077681450005
0.83671,5.623985,4.70564448935
0.869542,5.469203,4.755701715026
0.907044,5.258271,4.769483160924
0.954107,5.046963,4.815342727041
0.996826,4.854288,4.838880489888
1.043385,4.688632,4.89204829932
1.068525,4.577428,4.8910962537
1.106516,4.420812,4.891699210992
1.146848,4.290606,4.920672909888001
1.188442,4.175071,4.961829729382
1.216027,4.079417,4.960681216259
1.246903,3.972026,4.952731135478
1.283782,3.881106,4.982494022892
1.315815,3.775676,4.968091115939999
1.350559,3.680311,4.970477143849
1.374246,3.632481,4.991922484326
1.410369,3.534962,4.985600820978
1.436324,3.454276,4.961459521424
1.469142,3.385193,4.973329214406
1.500834,3.31559,4.9761502020599995
1.518814,3.27423,4.972946363220001
1.547689,3.201079,4.954274756431
1.575837,3.136608,4.942782940896
1.6024,3.075477,4.9281443448
1.619387,3.040355,4.923511362385
1.655718,2.991404,4.952921448072001
1.67853,2.933628,4.9241826068400005
1.706442,2.885013,4.9231073537459995
1.716418,2.8466,4.8859554788
1.746374,2.805055,4.89867512057
1.773041,2.765281,4.902956589521
1.798655,2.723521,4.898674664254999
1.820252,2.673136,4.865781150272
1.837639,2.651363,4.8722480519569995
1.8543,2.602756,4.8262904508
1.878772,2.567169,4.823125236468
1.907766,2.527731,4.822319258946001
1.914822,2.503342,4.793454335124
1.935129,2.463777,4.767726322233
1.971356,2.448434,4.826735056504001
1.97893,2.401253,4.7519115992900005
1.997607,2.383364,4.761024609948
2.024214,2.355129,4.767285093606
2.048613,2.324669,4.762347134097
2.065926,2.297587,4.746644720562
2.08229,2.275678,4.73862154262
2.108897,2.250246,4.745537038662
2.132703,2.223645,4.742374362434999
2.145999,2.207005,4.736230522995001
2.153974,2.180475,4.696686457649999
2.189504,2.157029,4.722823623616
2.211056,2.132462,4.714992899872
2.211249,2.114789,4.676325061461
2.242837,2.097605,4.704586105385001
2.262477,2.075728,4.696286858255999
2.26931,2.04767,4.6467980077
2.289588,2.039037,4.668554646756
2.315039,2.020211,4.676867253229001
2.336591,2.003323,4.680946491893
2.343336,1.97858,4.6364777428799995
2.374375,1.964927,4.665473545625001
2.385803,1.954725,4.663588769175
2.412277,1.938622,4.6764932622940005
2.426714,1.92002,4.659339414280001
2.449942,1.90089,4.65707024838
2.462586,1.885748,4.643816624328
2.472695,1.873857,4.633476834615
2.4949,1.857769,4.6349478781
2.519491,1.845558,4.649866770978
2.53587,1.828261,4.63623222207
2.549107,1.818324,4.635102436667999
2.568629,1.803302,4.632013812958
2.581421,1.788792,4.617625233432
2.604115,1.776316,4.62573114034
2.626037,1.764313,4.633151217581
2.642565,1.755632,4.63937167608
2.654705,1.739865,4.618828314825
2.678229,1.729904,4.633079060016001
2.701708,1.719742,4.646240719336
2.708483,1.710341,4.632429522703
2.731532,1.699131,4.641230698692
2.752566,1.687568,4.645142299488
2.767032,1.675372,4.635807935904
2.781693,1.66296,4.625844191280001
