Voltage (V),Current (A),Power (W)
6.006096,0.0,0.0
6.006096,0.0,0.0
6.006096,0.0,0.0
0.020029,0.0,0.0
2.503778,0.0,0.0
2.503778,0.0,0.0
2.503778,0.0,0.0
2.503778,0.0,0.0
0.020059,0.0,0.0
2.477009,0.0,0.0
2.477009,0.0,0.0
2.477009,0.0,0.0
0.020044,1.995012,0.039988020528
0.020088,0.0,0.0
2.450564,0.0,0.0
2.450564,0.0,0.0
2.450564,0.0,0.0
0.020044,1.995044,0.039988661936
0.580304,0.0,0.0
2.37602,0.0,0.0
2.37602,0.0,0.0
2.37602,0.0,0.0
0.020044,0.0,0.0
2.396164,0.0,0.0
2.396164,0.0,0.0
2.396164,0.0,0.0
2.396164,0.0,0.0
0.054107,0.0,0.0
2.45639,0.0,0.0
2.45639,0.0,0.0
2.45639,0.0,0.0
0.274671,1.995812,0.548191677852
0.851844,0.0,0.0
0.851844,0.0,0.0
0.851844,0.0,0.0
0.851844,0.0,0.0
0.5321,1.99582,1.061975822
0.58607,1.995588,1.1695542591599999
0.646858,1.995844,1.2910276581520002
0.680551,1.995644,1.358137519844
0.739279,1.995868,1.475503299172
0.791811,1.995772,1.5802742230920002
0.853104,1.995884,1.702696623936
0.891021,1.995756,1.778260506876
0.950683,1.995956,1.8975214379479999
1.010434,1.995884,2.016709053656
1.067457,1.995924,2.1305630452680004
1.102617,1.995932,2.200748554044
1.163139,1.995988,2.321611486332
1.21997,1.996005,2.43506621985
1.276756,1.996012,2.548420297072
1.312094,1.995916,2.6188294081040002
1.370363,1.99594,2.73516232622
1.426912,1.995924,2.8480079066879997
1.484751,1.99594,2.96347391094
1.523527,1.995812,3.040673468924
1.579929,1.995956,3.153468767124
1.636937,1.995956,3.267254226772
1.694272,1.995956,3.3816923640320002
1.734146,1.99574,3.46090453804
1.795305,1.995949,3.5833372194449997
1.853322,1.995844,3.6989415937679997
1.910938,1.995932,3.814102304216
1.947046,1.99582,3.88595334772
2.003655,1.995973,3.9992412813150002
2.061612,1.99594,4.11485385528
2.119244,1.996005,4.2300216202200005
2.155263,1.99582,4.3015170006600005
2.2162,1.995924,4.4233667688
2.272986,1.995964,4.536798228504
2.330959,1.995996,4.652584840164001
2.365377,1.995748,4.720696416996001
2.428152,1.995973,4.846525831896
2.485635,1.996005,4.961339888175
2.538479,1.995988,5.066773622252001
2.576737,1.995884,5.142868150508
2.641601,1.9959,5.2723714359
2.700819,1.996012,5.390867133828
2.75765,1.996028,5.504346614199999
2.796219,1.995932,5.5810629811079995
2.854635,1.996045,5.697979918575
2.912445,1.995973,5.813161583985
2.964429,1.995964,5.916893564556
3.009831,1.995876,6.007249456956
3.068663,1.996133,6.125459480179
3.119861,1.995964,6.227130241004001
3.182977,1.996165,6.353747283205
3.218508,1.996021,6.424209556668
3.278807,1.995908,6.544197121756
3.335356,1.996021,6.657440618476
3.399865,1.995996,6.78611694054
3.440584,1.995748,6.866538636832
3.497296,1.996077,6.980872107792
3.555417,1.996005,7.096630109085
3.594964,1.995924,7.175274926736
3.655219,1.996068,7.296065678892
