Resistance (Ohm),Voltage (V),Current (A),Power (W)
15000,2.250085,0.0,0.0
14900,2.250085,0.0,0.0
14800,2.250085,0.0,0.0
14700,2.248959,0.000525,0.001180703475
14600,2.244645,0.000421,0.0009449955449999999
14500,2.243415,0.000469,0.001052161635
14400,2.244319,0.000429,0.000962812851
14300,2.244215,0.000429,0.0009627682350000001
14200,2.2426,0.000469,0.0010517794
14100,2.248292,0.000381,0.0008565992520000001
14000,2.245119,0.000421,0.000945195099
13900,2.247936,0.000421,0.000946381056
13800,2.24423,0.000165,0.00037029795
13700,2.24798,0.000301,0.0006766419800000001
13600,2.246379,0.000301,0.000676160079
13500,2.25096,0.000333,0.00074956968
13400,2.247639,0.000277,0.000622596003
13300,2.248707,0.000237,0.000532943559
13200,2.246631,8.5e-05,0.000190963635
13100,2.244334,0.000117,0.00026258707799999996
13000,2.248217,0.000221,0.000496855957
12900,2.247358,6.9e-05,0.000155067702
12800,2.248573,0.000213,0.00047894604899999997
12700,2.24426,2.9e-05,6.508354000000001e-05
12600,2.247432,0.000109,0.000244970088
12500,2.241799,9.3e-05,0.00020848730699999998
12400,2.245357,0.000157,0.000352521049
12300,2.247358,0.000125,0.00028091975
12200,2.244541,4.5e-05,0.000101004345
12100,2.242125,0.000181,0.00040582462500000005
12000,2.241843,0.000141,0.000316099863
11900,2.243785,6.9e-05,0.000154821165
11800,2.242422,5.3e-05,0.000118848366
11700,2.246305,5.3e-05,0.00011905416500000001
11600,2.2434,0.000117,0.0002624778
11500,2.243237,0.0,0.0
11400,2.240391,1.3e-05,2.9125082999999997e-05
11300,2.242896,3.7e-05,8.2987152e-05
11200,2.238034,1.3e-05,2.9094441999999995e-05
11100,2.238716,6.1e-05,0.000136561676
11000,2.240687,3.7e-05,8.290541899999999e-05
10900,2.238449,0.0,0.0
10800,2.239739,2.1e-05,4.7034519000000004e-05
10700,2.23381,0.0,0.0
10600,2.232861,0.0,0.0
10500,2.228829,3.7e-05,8.2466673e-05
10400,2.22456,0.0,0.0
10300,2.230208,0.0,0.0
10200,2.230282,1.3e-05,2.8993665999999997e-05
10100,2.227569,0.0,0.0
10000,2.22794,0.0,0.0
9900,2.226013,0.0,0.0
9800,2.229541,0.0,0.0
9700,2.226043,0.0,0.0
9600,2.227154,6.9e-05,0.000153673626
9500,2.226502,4.5e-05,0.00010019259
9400,2.230652,0.0,0.0
9300,2.226976,1.3e-05,2.8950687999999998e-05
9200,2.228429,2.9e-05,6.462444100000001e-05
9100,2.225242,2.1e-05,4.6730082e-05
9000,2.224456,2.1e-05,4.6713576e-05
8900,2.224442,0.0,0.0
8800,2.222811,0.0,0.0
8700,2.220395,0.0,0.0
8600,2.224026,0.0,0.0
8500,2.220128,0.0,0.0
8400,2.224486,0.0,0.0
8300,2.224871,0.0,0.0
8200,2.224471,0.0,0.0
8100,2.22496,0.0,0.0
8000,2.219224,0.0,0.0
7900,2.222277,5e-06,1.1111385e-05
7800,2.218275,0.0,0.0
7700,2.222381,0.0,0.0
7600,2.217564,0.0,0.0
7500,2.216437,0.0,0.0
7400,2.214777,5.3e-05,0.00011738318100000002
7300,2.212657,6.9e-05,0.000152673333
7200,2.212598,3.7e-05,8.186612599999999e-05
7100,2.216422,0.0,0.0
7000,2.215147,9.3e-05,0.00020600867099999999
6900,2.217949,2.9e-05,6.4320521e-05
6800,2.218409,0.0,0.0
6700,2.216971,0.0,0.0
6600,2.216912,5.3e-05,0.00011749633600000001
6500,2.220336,7.7e-05,0.000170965872
6400,2.220202,9.3e-05,0.000206478786
6300,2.220084,0.000101,0.000224228484
6200,2.215652,0.000101,0.000223780852
6100,2.21371,0.000189,0.00041839119
6000,2.214125,0.000317,0.000701877625
5900,2.214125,0.000293,0.000648738625
5800,2.213769,0.000141,0.00031214142900000007
