Resistance (Ohm),Voltage (V),Current (A),Power (W)
5700,2.213458,0.000117,0.000258974586
5600,2.21033,4.5e-05,9.946485e-05
5500,2.21159,6.9e-05,0.00015259971000000002
5400,2.212895,9.3e-05,0.000205799235
5300,2.21371,0.000165,0.00036526215
5200,2.214273,0.000165,0.00036535504499999997
5100,2.213517,3.7e-05,8.1900129e-05
5000,2.210389,0.000101,0.00022324928900000003
4900,2.213784,6.1e-05,0.000135040824
4800,2.216052,6.1e-05,0.000135179172
4700,2.21448,4.5e-05,9.96516e-05
4600,2.214421,2.9e-05,6.4218209e-05
4500,2.206239,6.1e-05,0.000134580579
4400,2.20741,6.1e-05,0.00013465200999999998
4300,2.205513,5.3e-05,0.000116892189
4200,2.205098,4.5e-05,9.922941000000001e-05
4100,2.202889,0.000149,0.00032823046099999994
4000,2.19822,0.0,0.0
3900,2.200917,0.000101,0.000222292617
3800,2.206091,0.0,0.0
3700,2.208448,3.7e-05,8.171257600000001e-05
3600,2.202845,5.3e-05,0.000116750785
3500,2.204505,7.7e-05,0.000169746885
3400,2.197434,6.9e-05,0.00015162294599999998
3300,2.199258,0.0,0.0
3200,2.197923,0.0,0.0
3100,2.197316,0.0,0.0
3000,2.202163,2.1e-05,4.6245423e-05
2900,2.198175,0.0,0.0
2800,2.196352,0.0,0.0
2700,2.197405,0.0,0.0
2600,2.195344,0.0,0.0
2500,2.192958,6.9e-05,0.000151314102
2400,2.192261,0.0,0.0
2300,2.191668,0.0,0.0
2200,2.190319,0.0,0.0
2100,2.191016,0.0,0.0
2000,2.191935,0.0,0.0
1900,2.19069,0.0,0.0
1800,2.189208,0.0,0.0
1700,2.192276,0.0,0.0
1600,2.190912,6.1e-05,0.000133645632
1500,2.191831,4.5e-05,9.863239500000001e-05
1400,2.187977,6.1e-05,0.000133466597
1300,2.187533,0.0,0.0
1200,2.184568,6.9e-05,0.000150735192
1100,2.180225,5e-06,1.0901125000000001e-05
1000,2.180344,0.000141,0.000307428504
900,2.181767,0.000429,0.0009359780429999999
800,2.03462,0.003456,0.00703164672
700,1.727105,0.010758,0.018580195589999998
600,1.6852,0.011943,0.020126343600000002
500,1.600162,0.014754,0.023608790148000002
400,1.510824,0.018493,0.027939668231999996
300,1.369651,0.025611,0.035078131761
200,1.271094,0.031545,0.04009666023
100,1.013309,0.053004,0.05370943023600001
